,name,moveType,damageClass,power,pp,priority,accuracy
0,gust,flying,special,40.0,35,0,100.0
1,sand-attack,ground,status,,15,0,100.0
2,quick-attack,normal,physical,40.0,30,1,100.0
3,whirlwind,normal,status,,20,-6,
4,wing-attack,flying,physical,60.0,35,0,100.0
5,agility,psychic,status,,30,0,
6,mirror-move,flying,status,,20,0,
7,tackle,normal,physical,40.0,35,0,100.0
8,tail-whip,normal,status,,30,0,100.0
9,hyper-fang,normal,physical,80.0,15,0,90.0
10,focus-energy,normal,status,,30,0,
11,super-fang,normal,physical,,10,0,90.0
12,string-shot,bug,status,,40,0,95.0
13,harden,normal,status,,30,0,
14,poison-sting,poison,physical,15.0,35,0,100.0
15,growl,normal,status,,40,0,100.0
16,thunder-shock,electric,special,40.0,30,0,100.0
17,thunder-wave,electric,status,,20,0,90.0
18,swift,normal,special,60.0,20,0,
19,thunder,electric,special,110.0,10,0,70.0
20,peck,flying,physical,35.0,35,0,100.0
21,leer,normal,status,,30,0,100.0
22,fury-attack,normal,physical,15.0,20,0,85.0
23,drill-peck,flying,physical,80.0,20,0,100.0
24,scratch,normal,physical,40.0,35,0,100.0
25,bite,dark,physical,60.0,25,0,100.0
26,fury-swipes,normal,physical,18.0,15,0,80.0
27,double-kick,fighting,physical,30.0,30,0,100.0
28,horn-attack,normal,physical,65.0,25,0,100.0
29,horn-drill,normal,physical,,5,0,30.0
30,sing,normal,status,,15,0,55.0
31,pound,normal,physical,40.0,35,0,100.0
32,disable,normal,status,,20,0,100.0
33,defense-curl,normal,status,,40,0,
34,double-slap,normal,physical,15.0,10,0,85.0
35,rest,psychic,status,,10,0,
36,body-slam,normal,physical,85.0,15,0,100.0
37,double-edge,normal,physical,120.0,15,0,100.0
38,slash,normal,physical,70.0,20,0,100.0
39,splash,normal,status,,40,0,
40,confusion,psychic,special,50.0,25,0,100.0
41,hydro-pump,water,special,110.0,5,0,80.0
42,teleport,psychic,status,,20,0,
43,vine-whip,grass,physical,45.0,25,0,100.0
44,growth,normal,status,,20,0,
45,wrap,normal,physical,15.0,20,0,90.0
46,poison-powder,poison,status,,35,0,75.0
47,sleep-powder,grass,status,,15,0,75.0
48,stun-spore,grass,status,,30,0,75.0
49,acid,poison,special,40.0,30,0,100.0
50,razor-leaf,grass,physical,55.0,25,0,95.0
51,slam,normal,physical,80.0,20,0,75.0
52,bubble,water,special,40.0,30,0,100.0
53,vise-grip,normal,physical,55.0,30,0,100.0
54,guillotine,normal,physical,,5,0,30.0
55,stomp,normal,physical,65.0,20,0,100.0
56,crabhammer,water,physical,100.0,10,0,90.0
57,withdraw,water,status,,40,0,
58,supersonic,normal,status,,20,0,55.0
59,clamp,water,physical,35.0,15,0,85.0
60,aurora-beam,ice,special,65.0,20,0,100.0
61,ice-beam,ice,special,90.0,10,0,100.0
62,hypnosis,psychic,status,,20,0,60.0
63,headbutt,normal,physical,70.0,15,0,100.0
64,poison-gas,poison,status,,40,0,90.0
65,psychic,psychic,special,90.0,10,0,100.0
66,meditate,psychic,status,,40,0,
67,dig,ground,physical,80.0,10,0,100.0
68,earthquake,ground,physical,100.0,10,0,100.0
69,leech-seed,grass,status,,10,0,90.0
70,solar-beam,grass,special,120.0,10,0,100.0
71,ember,fire,special,40.0,25,0,100.0
72,rage,normal,physical,20.0,20,0,100.0
73,flamethrower,fire,special,90.0,15,0,100.0
74,fire-spin,fire,special,35.0,15,0,85.0
75,water-gun,water,special,40.0,25,0,100.0
76,skull-bash,normal,physical,130.0,10,0,100.0
77,absorb,grass,special,20.0,25,0,100.0
78,spike-cannon,normal,physical,20.0,15,0,100.0
79,lovely-kiss,normal,status,,10,0,75.0
80,lick,ghost,physical,30.0,30,0,100.0
81,ice-punch,ice,physical,75.0,15,0,100.0
82,thrash,normal,physical,120.0,10,0,100.0
83,blizzard,ice,special,110.0,5,0,70.0
84,psybeam,psychic,special,65.0,20,0,100.0
85,twineedle,bug,physical,25.0,20,0,100.0
86,pin-missile,bug,physical,25.0,20,0,95.0
87,dragon-rage,dragon,special,,10,0,100.0
88,hyper-beam,normal,special,150.0,5,0,90.0
89,recover,normal,status,,10,0,
90,reflect,psychic,status,,20,0,
91,bubble-beam,water,special,65.0,20,0,100.0
