Unnamed: 0,name,moves,encounterOrEvolutionTrigger,OriginIfEvolution,movesByVM,movesByTM
0,pidgey,"[{'name': 'gust', 'levelLearnedAt': 1}, {'name': 'sand-attack', 'levelLearnedAt': 5}, {'name': 'quick-attack', 'levelLearnedAt': 12}, {'name': 'whirlwind', 'levelLearnedAt': 19}, {'name': 'wing-attack', 'levelLearnedAt': 28}, {'name': 'agility', 'levelLearnedAt': 36}, {'name': 'mirror-move', 'levelLearnedAt': 44}]",walk,,['fly'],"['whirlwind', 'bide', 'rest', 'reflect', 'razor-wind', 'double-edge', 'substitute', 'double-team', 'swift', 'rage', 'toxic', 'take-down', 'mimic']"
1,rattata,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'tail-whip', 'levelLearnedAt': 1}, {'name': 'quick-attack', 'levelLearnedAt': 7}, {'name': 'hyper-fang', 'levelLearnedAt': 14}, {'name': 'focus-energy', 'levelLearnedAt': 23}, {'name': 'super-fang', 'levelLearnedAt': 34}]",walk,,['cut'],"['bubble-beam', 'water-gun', 'bide', 'thunder', 'thunder-wave', 'dig', 'thunderbolt', 'body-slam', 'rest', 'ice-beam', 'counter', 'double-edge', 'substitute', 'skull-bash', 'double-team', 'swift', 'rage', 'toxic', 'take-down', 'blizzard', 'mimic']"
2,weedle,"[{'name': 'poison-sting', 'levelLearnedAt': 1}, {'name': 'string-shot', 'levelLearnedAt': 1}]",walk,,[],[]
3,caterpie,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'string-shot', 'levelLearnedAt': 1}]",walk,,[],[]
4,metapod,"[{'name': 'harden', 'levelLearnedAt': 1}]",walk,,[],[]
5,kakuna,"[{'name': 'harden', 'levelLearnedAt': 1}]",walk,,[],[]
6,pikachu,"[{'name': 'growl', 'levelLearnedAt': 1}, {'name': 'thunder-shock', 'levelLearnedAt': 1}, {'name': 'thunder-wave', 'levelLearnedAt': 9}, {'name': 'quick-attack', 'levelLearnedAt': 16}, {'name': 'swift', 'levelLearnedAt': 26}, {'name': 'agility', 'levelLearnedAt': 33}, {'name': 'thunder', 'levelLearnedAt': 43}]",walk,,"['flash', 'surf', 'strength']","['mega-punch', 'bide', 'thunder', 'thunder-wave', 'seismic-toss', 'dig', 'thunderbolt', 'body-slam', 'rest', 'mega-kick', 'submission', 'reflect', 'counter', 'double-edge', 'substitute', 'skull-bash', 'double-team', 'pay-day', 'swift', 'rage', 'toxic', 'take-down', 'mimic']"
7,spearow,"[{'name': 'growl', 'levelLearnedAt': 1}, {'name': 'peck', 'levelLearnedAt': 1}, {'name': 'leer', 'levelLearnedAt': 9}, {'name': 'fury-attack', 'levelLearnedAt': 15}, {'name': 'mirror-move', 'levelLearnedAt': 22}, {'name': 'drill-peck', 'levelLearnedAt': 29}, {'name': 'agility', 'levelLearnedAt': 36}]",walk,,['fly'],"['whirlwind', 'bide', 'rest', 'tri-attack', 'razor-wind', 'double-edge', 'substitute', 'double-team', 'swift', 'rage', 'toxic', 'take-down', 'mimic']"
8,nidoran-f,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'growl', 'levelLearnedAt': 1}, {'name': 'scratch', 'levelLearnedAt': 8}, {'name': 'poison-sting', 'levelLearnedAt': 14}, {'name': 'tail-whip', 'levelLearnedAt': 21}, {'name': 'bite', 'levelLearnedAt': 29}, {'name': 'fury-swipes', 'levelLearnedAt': 36}, {'name': 'double-kick', 'levelLearnedAt': 43}]",walk,,"['cut', 'strength']","['bide', 'thunder', 'dig', 'thunderbolt', 'body-slam', 'rest', 'ice-beam', 'reflect', 'counter', 'double-edge', 'substitute', 'skull-bash', 'double-team', 'rage', 'toxic', 'take-down', 'blizzard', 'mimic']"
9,nidoran-m,"[{'name': 'tackle', 'levelLearnedAt': 1}, {'name': 'leer', 'levelLearnedAt': 1}, {'name': 'horn-attack', 'levelLearnedAt': 8}, {'name': 'poison-sting', 'levelLearnedAt': 14}, {'name': 'focus-energy', 'levelLearnedAt': 21}, {'name': 'fury-attack', 'levelLearnedAt': 29}, {'name': 'horn-drill', 'levelLearnedAt': 36}, {'name': 'double-kick', 'levelLearnedAt': 43}]",walk,,"['cut', 'strength']","['bide', 'thunder', 'dig', 'thunderbolt', 'body-slam', 'rest', 'ice-beam', 'reflect', 'horn-drill', 'counter', 'double-edge', 'substitute', 'skull-bash', 'double-team', 'rage', 'toxic', 'take-down', 'blizzard', 'mimic']"
10,poliwag,"[{'name': 'bubble', 'levelLearnedAt': 1}, {'name': 'hypnosis', 'levelLearnedAt': 16}, {'name': 'water-gun', 'levelLearnedAt': 19}, {'name': 'double-slap', 'levelLearnedAt': 25}, {'name': 'body-slam', 'levelLearnedAt': 31}, {'name': 'amnesia', 'levelLearnedAt': 38}, {'name': 'hydro-pump', 'levelLearnedAt': 45}]",fishing,,['surf'],"['bubble-beam', 'water-gun', 'bide', 'dig', 'body-slam', 'rest', 'ice-beam', 'double-edge', 'substitute', 'skull-bash', 'double-team', 'rage', 'toxic', 'take-down', 'psywave', 'blizzard', 'psychic', 'mimic']"
11,goldeen,"[{'name': 'tail-whip', 'levelLearnedAt': 1}, {'name': 'peck', 'levelLearnedAt': 1}, {'name': 'supersonic', 'levelLearnedAt': 19}, {'name': 'horn-attack', 'levelLearnedAt': 24}, {'name': 'fury-attack', 'levelLearnedAt': 30}, {'name': 'waterfall', 'levelLearnedAt': 37}, {'name': 'horn-drill', 'levelLearnedAt': 45}, {'name': 'agility', 'levelLearnedAt': 54}]",fishing,,['surf'],"['bubble-beam', 'water-gun', 'bide', 'body-slam', 'rest', 'ice-beam', 'horn-drill', 'double-edge', 'substitute', 'skull-bash', 'double-team', 'swift', 'rage', 'toxic', 'take-down', 'blizzard', 'mimic']"
12,magikarp,"[{'name': 'splash', 'levelLearnedAt': 1}, {'name': 'tackle', 'levelLearnedAt': 15}]",fishing,,[],[]
